"EntraIDOperationName","MicrosoftGraphRequestUri","RequestMethod","EntraIDOperationVersion"
"Accept Terms Of Use","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/acceptances/1_<UUID>_<UUID>_<UUID>","DELETE","1.0"
"Accept Terms Of Use","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/acceptances","POST","1.0"
"Add a Connector to Connector Group","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')/connectorGroups/<UUID>/members/$ref","POST","1.0"
"Add application","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing","PATCH","1.0"
"Add application SSL certificate","https://graph.microsoft.com/edu/applications/<UUID>","PATCH","1.0"
"Add application SSL certificate","https://graph.microsoft.com/beta/applications/<UUID>","PATCH","1.0"
"Add AuthenticationContextClassReference","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationContextClassReferences","POST","1.0"
"Add conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies","POST","1.0"
"Add conditional access policy","https://graph.microsoft.com/beta/identity/conditionalAccess/policies","POST","1.0"
"Add Connector Group","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')/connectorGroups","POST","1.0"
"Add member to role outside of PIM (permanent)","https://graph.microsoft.com/v1.0/servicePrincipals/getByIds","POST","1.0"
"Add member to role outside of PIM (permanent)","https://graph.microsoft.com/v1.0/users/getByIds","POST","1.0"
"Add member to role outside of PIM (permanent)","https://graph.microsoft.com/v1.0/groups/getByIds","POST","1.0"
"Add named location","https://graph.microsoft.com/beta/identity/conditionalAccess/namedLocations","POST","1.0"
"Add named location","https://graph.microsoft.com/beta/conditionalAccess/namedLocations","POST","1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods/<UUID>","DELETE","1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/methods/resetTraditionalAuthenticationMethods","POST","1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods/<UUID>","DELETE","1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/microsoftAuthenticatorMethods/<UUID>","DELETE","1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/softwareOathMethods/<UUID>","DELETE","1.0"
"Admin deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/windowsHelloForBusinessMethods/<ID>","DELETE","1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>","DELETE","1.0"
"Admin deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
