EntraIDOperationName,MicrosoftGraphRequestUri,RequestMethod,EntraIDOperationVersion
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/methods/resetTraditionalAuthenticationMethods",POST,"1.0"
"Administrator directly assigns user to access package","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Apply decision","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref",DELETE,"1.0"
"Approve access package assignment request","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Approve access package assignment request","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"Approve access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Auto approve access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Create request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Create request","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"Create request","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
DismissUser,"https://graph.microsoft.com/beta/identityProtection/riskyUsers/dismiss",POST,"1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref",DELETE,"1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"Invite external user","https://graph.microsoft.com/v1.0/invitations",POST,"1.0"
"Invite external user","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Invite external user","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Invite external user","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Redeem external user invite","https://graph.microsoft.com/beta/directory/redeemInvitation",POST,"1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref",DELETE,"1.0"
"Update access package assignment policy","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Update business flow","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Update security defaults","https://graph.microsoft.com/v1.0/policies/<ID>",PATCH,"1.0"
"User requests access package assignment","https://graph.microsoft.com/beta/invitations",POST,"1.0"
"User requests access package assignment","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"User requests access package assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
