EntraIDOperationName,MicrosoftGraphRequestUri,RequestMethod,EntraIDOperationVersion
"Add conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies",POST,"1.0"
"Add conditional access policy","https://graph.microsoft.com/beta/identity/conditionalAccess/policies",POST,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>",DELETE,"1.0"
"Admin registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/emailMethods",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods",POST,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/",POST,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/",POST,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>",PATCH,"1.0"
ConfirmAccountCompromised,"https://graph.microsoft.com/beta/riskyUsers/confirmCompromised",POST,"1.0"
"Delete FIDO2 security key(s)","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>",DELETE,"1.0"
"Delete conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies/<UUID>",DELETE,"1.0"
"Invite external user","https://graph.microsoft.com/v1.0/invitations",POST,"1.0"
"Invite external user","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Update application","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing",PATCH,"1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments('<UUID>')",DELETE,"1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments",POST,"1.0"
"Update conditional access policy","https://graph.microsoft.com/beta/identity/conditionalAccess/policies/<UUID>",PATCH,"1.0"
"Update conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies/<UUID>",PATCH,"1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref",DELETE,"1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Remove access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref",DELETE,"1.0"
"Reprocess access package assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Reprocess access package assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref",DELETE,"1.0"
