EntraIDOperationName,MicrosoftGraphRequestUri,RequestMethod,EntraIDOperationVersion
"Add a Connector to Connector Group","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')/connectorGroups/<UUID>/members/$ref",POST,"1.0"
"Add application SSL certificate","https://graph.microsoft.com/beta/applications/<UUID>",PATCH,"1.0"
"Add application SSL certificate","https://graph.microsoft.com/edu/applications/<UUID>",PATCH,"1.0"
"Add application","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing",PATCH,"1.0"
"Add application","https://graph.microsoft.com/edu/applications/<UUID>",PATCH,"1.0"
"Add AuthenticationContextClassReference","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationContextClassReferences",POST,"1.0"
"Add AuthenticationContextClassReference","https://graph.microsoft.com/v1.0/<UUID>/identity/auxStore/authenticationContextClassReference/instances",POST,"1.0"
"Add AuthenticationContextClassReference","https://graph.microsoft.com/v1.0/<UUID>/identity/auxStore/authenticationContextClassReference/instances/c1:<UUID>",PUT,"1.0"
"Add conditional access policy","https://graph.microsoft.com/beta/identity/conditionalAccess/policies",POST,"1.0"
"Add conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies",POST,"1.0"
"Add Connector Group","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')/connectorGroups",POST,"1.0"
"Add named location","https://graph.microsoft.com/beta/conditionalAccess/namedLocations",POST,"1.0"
"Add Passkey (device-bound)","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/",POST,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/emailMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/methods/resetTraditionalAuthenticationMethods",POST,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/microsoftAuthenticatorMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/softwareOathMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/windowsHelloForBusinessMethods/<ID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Admin deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Admin updated security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods/<UUID>",PUT,"1.0"
"Admin updated security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Admin updated security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Approve access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Authentication Methods Policy Update","https://graph.microsoft.com/beta/policies/authenticationmethodspolicy/authenticationMethodConfigurations/Fido<ID>",PATCH,"1.0"
"Authentication Methods Policy Update","https://graph.microsoft.com/beta/policies/authenticationmethodspolicy/authenticationMethodConfigurations/TemporaryAccessPass",PATCH,"1.0"
"Authentication Methods Policy Update","https://graph.microsoft.com/v1.0/internal/policies/userCredentialPolicies/<UUID>",PATCH,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/",POST,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/",POST,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>",PATCH,"1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/<UUID>",PATCH,"1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/<UUID>/updateAllowedCombinations",POST,"1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>",PATCH,"1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/directory/redeemInvitation",POST,"1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/roleManagement/directory/estimateAccess",POST,"1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/users/<UUID>/changePassword",POST,"1.0"
"ConfirmAccountCompromised","https://graph.microsoft.com/beta/identityProtection/riskyUsers/confirmCompromised",POST,"1.0"
"ConfirmAccountCompromised","https://graph.microsoft.com/v1.0/users/microsoft.graph.getByIds",POST,"1.0"
"ConfirmAccountSafe","https://graph.microsoft.com/beta/identityProtection/riskyUsers/confirmSafe",POST,"1.0"
"ConfirmAccountSafe","https://graph.microsoft.com/v1.0/users/microsoft.graph.getByIds",POST,"1.0"
"Create access package assignment policy","https://graph.microsoft.com/beta/directoryObjects/getByIds",POST,"1.0"
"Create access package assignment policy","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Create access package","https://graph.microsoft.com/beta/directoryObjects/getByIds",POST,"1.0"
